date,dlambda1,dlambda2,vr1,vr2,vr_mean,hel.corr,vr_final
2003-10-06T07:30:38.921,-0.5989600013654126,-0.7517845081783889,-21.94269928427656,-27.541373968096035,-24.742036626186298,21.51748212257585,-3.224554503610449
2003-10-08T08:06:25.258,-0.5217606153382803,-0.5904578253030195,-19.114525602123294,-21.631224908402086,-20.37287525526269,20.79046066398747,0.41758540872477923
2003-10-10T08:04:38.282,-0.5704244915532399,-0.6203585915955045,-20.89731042808476,-22.726629479040785,-21.811969953562773,20.063616834604748,-1.7483531189580255
2003-10-11T05:33:34.133,-0.41906662492783653,-0.6534091216217348,-15.352365616912513,-23.937424590397615,-19.644895103655063,19.800926554669346,0.1560314510142824
2004-01-13T01:11:34.884,0.7091277620411347,0.7798048990080133,25.97865834300965,28.5678916126812,27.273274977845425,-23.78598864983076,3.4872863280146653
2004-01-14T00:53:18.438,0.7551097797904731,0.7896047542235465,27.663194181225748,28.926906030227766,28.29505010572676,-24.099658251571952,4.195391854154806
2004-01-15T01:11:53.852,0.7668001835791074,0.8496460219703295,28.091468213316368,31.126497788961306,29.60898300113884,-24.430311760740857,5.178671240397982
2004-01-18T01:01:53.032,0.6697978557986062,0.9880083972566354,24.537820384562913,36.19535712221319,30.36658875338805,-25.336173510188267,5.0304152431997835
2004-01-20T00:56:58.400,0.7693296188117529,0.8371530586864537,28.18413322691071,30.668822258236922,29.426477742573816,-25.902065868789116,3.5244118737847003
2004-01-25T00:53:31.461,0.8709838228933222,1.1849684116514254,31.908200987795354,43.410921361961144,37.65956117487825,-27.169265294014615,10.490295880863634
2004-01-26T02:23:01.070,0.6784757496307066,0.7902334126392816,24.85573212214902,28.94993672098768,26.90283442156835,-27.430711654772004,-0.5278772332036539
2004-01-28T00:54:38.267,0.8542585003297063,0.9226481818095635,31.29547439067814,33.800907493788564,32.548190942233354,-27.822156778991147,4.726034163242208
2004-01-29T00:58:58.928,0.7792542735378447,0.8712447692778369,28.547719632778318,31.917760671299547,30.232740152038932,-28.023477746273315,2.2092624057656174
